1929 1698 3123 2826 3123 1698 1929 1698 1929 1698 3123 1698 1929 2078 1929 1698 1929 2078 1582 1853 1582 1391 1582 1853 1918 1940 1918 1811 795 91 64 239 64 210 64 643 807 643 893 703
3071 3072 3071 3072 3071 3072 3071 3072 3071 2269 2375 2269 2375 3213 2375 3214 2375 3214 2375 3216 3212 3213 3212 3216 2375 3216 2375 3216 2375 3213 2375 3216 2375 3213 3211 3213 2375 2269 2375 3214
293 396 213 396 397 213 293 397 396 397 652 397 395 397 652 397 396 397 213 47 213 447 93 763 374 444 374 373 262 673 839 673 553 673 517 364 382 439 481 364
2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962 2962
371 895 371 895 371 895 371 895 371 895 371 895 371 895 371 895 371 895 371 895 371 895 371 895 371 895 371 895 371 895 371 895 371 895 371 895 371 895 371 895
2474 2212 2695 2212 2695 2212 3132 2212 2474 2212 2695 2498 2695 2212 3132 2212 2474 2212 2474 2212 2695 2212 3132 2212 2423 2212 3132 2212 2474 2212 2423 2212 2474 2212 2474 2212 2474 2212 3132 2212
2524 2804 2524 2804 2524 2804 2524 2804 2524 2804 2524 2804 2524 2804 2524 2804 2524 2804 2524 2804 2524 2804 2524 2804 2524 2804 2524 2804 2524 2804 2524 2804 2524 2804 2524 2804 2524 2804 2524 2804
907 493 979 493 492 570 659 241 631 979 731 166 656 657 663 858 663 6 663 657 656 166 656 657 656 166 731 139 731 907 493 907 146 418 146 822 417 822 767 494
1615 1042 1679 1042 1037 1679 1475 1679 1475 2036 1475 1679 1411 1225 1411 1679 1040 1078 1190 1613 1599 1600 1078 1076 1078 1190 1078 1076 1599 2074 1599 1076 1599 1078 1190 1613 1599 1078 1040 1078
1109 1029 1109 1029 1248 1538 1248 1141 1248 1029 1248 1029 1109 1401 1401 1401 1401 1401 1401 1401 1401 1109 1401 1109 1401 1401 1401 1109 1029 1100 1695 1690 1814 1528 2970 3210 2970 3210 2970 1528
533 534 78 732 429 284 732 266 685 905 2278 1469 686 685 687 2686 769 1231 2157 769 686 905 2670 2668 2670 905 697 574 572 698 697 459 573 34 697 58 180 842 842 842
3301 2509 3301 2509 3301 2509 2638 2509 2638 218 2401 876 65 266 732 429 1408 429 732 505 732 1 732 876 2104 2084 2104 2084 2104 1114 2058 1114 1187 1114 2059 1114 2104 1114 2059 1114
1601 1569 1473 1570 1473 1569 1601 1569 1473 1304 1473 1569 1473 1570 1473 1570 1473 1569 1473 1304 1473 1570 1473 1304 1473 1569 1473 1304 1473 1569 1601 1569 1473 1472 1585 1629 1585 1472 1473 1472
1977 1327 1977 2026 1977 2026 1977 1327 1977 1974 1977 1974 1977 1637 1977 1637 2026 1637 2083 1369 1160 1369 1160 1369 1160 1160 1369 2083 1328 2083 1328 2083 1369 2083 1369 1160 1160 1160 2083 2082
708 291 470 51 616 694 184 1249 184 694 698 575 616 998 67 54 67 748 48 422 633 28 748 54 390 804 302 438 51 390 701 799 332 597 439 516 699 906 699 310
2871 2256 2871 2256 2256 2256 2871 2256 2871 2256 2871 2256 2256 2871 2256 2871 2256 2256 2256 2256 2256 2256 2256 2256 2256 2256 2256 2256 2256 2256 2256 2256 2256 2256 2256 2256 2256 2256 2256 2871
2068 1722 2068 1722 2068 1722 2068 1345 2068 1345 2068 1345 2068 1345 2068 1722 2068 2069 2068 1722 2068 1722 2068 2069 2068 1345 2068 2069 2068 2069 2068 1345 2068 1722 2068 2069 2068 1722 2068 2069
2403 3172 3304 3172 3304 3172 2403 3172 3304 3172 3304 3172 3304 3172 3304 3172 2403 3172 2403 3172 3304 3172 2403 3172 2403 3172 2403 3172 3304 3172 2403 3172 2403 3172 3304 3172 3304 3172 3304 3172
1399 1970 1971 1970 1971 1970 1971 1398 2019 1400 1971 1400 2019 1400 1971 1970 1971 1400 2019 1398 1971 1400 1971 1398 2019 1400 2019 1398 2019 1400 1971 1970 1399 1970 1398 1970 1398 1970 1398 1970
1931 1079 1742 1079 1245 1079 1245 2076 1245 2076 1245 1079 1931 2420 2374 2420 2437 3165 2437 2420 2374 2420 672 2420 672 2420 1931 2420 2437 672 215 672 2420 1931 2420 1931 2420 1931 2420 2374
1894 956 54 699 842 699 153 1 1937 1 1937 1212 1937 1 1937 1850 1951 1850 1998 88 1281 88 1998 1281 1678 1198 2494 686 1469 2494 1198 2278 686 905 2081 905 1234 905 2081 266
2020 1278 2020 1278 2020 1278 2020 1278 2020 1278 2020 1278 2020 1278 2020 1278 2020 1278 2020 1278 2020 1278 2020 1278 2020 1278 2020 1278 2020 1278 2020 1278 2020 1278 2020 1278 2020 1278 2020 1278
157 290 784 0 0 0 381 119 381 713 381 605 452 605 381 713 381 606 381 713 798 713 381 0 0 0 0 691 935 712 750 631 995 986 943 986 495 986 642 986
1661 1525 1661 1479 1661 1525 1661 1660 1661 1525 1661 1525 1661 1660 1661 1098 133 1098 1661 1660 1661 1525 1661 1098 133 323 109 323 513 323 514 173 514 173 384 173 514 383 108 1494
1161 1056 1161 1056 1056 1056 1056 1161 1056 1056 1056 1056 1161 1056 1056 1161 1056 1056 1056 1056 1056 1161 1056 1161 1056 1056 1056 1161 1056 1056 1056 1056 1161 1056 1056 1161 1056 1161 1056 1056
2089 2087 2085 2087 2086 2087 2089 2087 2085 2087 2085 2087 2085 2087 2089 2087 2085 2087 2085 2087 2085 2087 2085 2087 2089 2087 2089 2087 2085 2087 2085 2087 2089 2087 2089 2087 2085 2087 2086 2087
662 877 661 329 36 5 36 916 400 402 400 405 400 402 401 404 1343 404 693 404 1859 3274 1858 339 813 916 813 735 274 735 813 77 916 617 243 617 916 5 63 661
2929 2867 2929 2867 3019 2867 2929 2867 2929 2867 2929 2867 2929 2867 3019 2867 2929 2867 2929 2867 3019 2867 3019 2867 2929 2867 3019 2867 2929 2867 2929 2867 3019 2867 2929 2867 3019 2867 3019 2867
1531 441 2168 1632 1801 2168 1801 2168 1632 1801 441 1236 1070 1236 1242 2118 2024 1445 1405 1445 2024 1236 1058 2024 1058 1236 1860 1668 1273 1454 1273 1714 2686 905 2081 1305 2081 665 728 727
1010 919 764 723 99 723 764 298 764 298 764 919 1010 488 39 1010 644 1010 644 42 488 489 488 271 487 488 368 488 955 488 488 834 831 886 831 886 831 663 17 488
2230 3269 2230 3269 2230 2345 2230 3269 2230 3269 2230 2345 2230 3269 2230 3269 2230 2345 2230 2345 2230 3269 2230 3269 2230 3269 2230 2345 2230 3269 2230 3269 2230 3269 2230 2345 2230 3269 2230 3269
2462 2908 2462 2908 2462 2908 2462 2908 2462 2908 2462 2908 2462 2908 2462 2908 2462 2908 2462 2908 2462 2908 2462 2908 2462 2908 2462 2908 2462 2908 2462 2908 2462 2908 2462 2908 2462 2908 2462 2908
986 935 788 579 388 676 2985 2454 2983 2984 2983 2984 2985 2454 2984 2985 676 2985 2454 2984 2985 676 388 676 2985 2984 2454 2985 676 2985 2984 2454 2985 2454 2983 2454 2983 2986 2983 2986
271 487 42 644 611 644 611 950 611 950 611 613 955 612 955 488 964 834 488 790 488 1010 919 764 723 764 919 764 298 1010 39 488 367 488 17 663 858 663 17 663
2832 3160 2832 2286 2832 3160 2832 2323 2832 3200 2832 3161 2832 2286 2832 2286 2832 2295 3161 2832 3160 2832 3160 2832 3200 2335 3200 2335 3247 2335 3247 2335 3200 2832 2295 2832 3160 2832 3161 2832
2916 1889 1382 1889 1344 1291 1344 1889 1344 1926 1344 1926 1344 1889 1382 1344 1889 1344 1889 1382 1889 1382 1344 1889 1382 1344 1291 1344 1382 1889 1344 1889 1382 1344 1382 1344 1926 1344 1291 1344
3151 3146 3150 3149 3150 3149 3150 3147 3146 3148 3146 3147 3150 3146 3147 3150 3146 3148 2312 3148 2312 3148 3146 3147 3150 3146 3149 3146 3147 3146 3150 3149 3150 3147 3146 3151 2219 3151 3146 3148
1825 1948 1949 1628 1424 1628 206 507 390 167 639 799 332 2342 2528 2342 2528 2342 2528 2342 332 439 244 547 159 504 390 98 699 251 364 516 805 698 574 349 574 310 123 310
2234 3052 3051 3054 3051 2234 3051 2270 3051 2234 3051 2234 3051 2510 3051 2510 3052 2234 3051 2510 3051 3052 2510 3052 2510 3052 2234 3052 2234 3051 2510 3052 3051 2234 3052 2510 3051 2510 3051 3054
2910 2451 2910 2451 2910 2451 2910 2451 2910 2451 2910 2451 2910 2451 2910 2451 2910 2451 2910 2451 2910 2451 2910 2451 2910 2451 2910 2451 2910 2451 2910 2451 2910 2451 2910 2451 2910 2451 2910 2451
2129 963 212 963 212 963 2130 2129 2131 2129 2131 2129 963 212 963 212 390 414 390 619 699 310 123 547 697 698 549 574 310 37 182 37 182 37 1724 1677 1724 876 3303 2399
2476 2736 2476 2590 2476 2258 2476 2736 2476 2590 2476 2590 2178 2590 2476 2258 2476 2736 2178 2736 2178 2590 2178 2590 2178 2736 2476 2590 2178 2590 2476 2736 2476 2736 2476 2258 2737 2258 2476 2590
2918 2890 2918 2890 2918 2890 2918 2890 2918 2890 2918 2890 2918 2890 2918 2890 2918 2890 2918 2890 2918 2890 2918 2890 2918 2890 2918 2890 2918 2890 2918 2890 2918 2890 2918 2890 2918 2890 2918 2890
1028 1048 1028 1048 1028 1048 2063 1048 1028 1048 1028 1048 1028 1048 2063 1048 1028 1048 1028 1048 2063 1048 1028 1048 2063 1048 2063 1048 2063 1048 1028 1048 1028 1048 2063 1048 2063 1048 1028 1048
1031 1487 1031 1488 961 1488 1872 1488 961 1488 1645 1488 961 1488 1031 1645 1488 1645 1031 1487 1031 1487 1930 1293 1930 1487 2003 1487 1031 1872 1031 1645 1488 1031 1872 1031 1645 1488 961 1488
2440 2425 2440 2425 2440 2425 2440 2425 2440 2425 2440 2425 2440 2425 2440 2425 2440 2425 2440 2425 2440 2425 2440 2425 2440 2425 2440 2425 2440 2425 2440 2425 2440 2425 2440 2425 2440 2425 2440 2425
766 668 698 574 572 574 616 2018 1295 1852 1340 1852 1340 1852 1257 1880 1257 1159 1257 1852 1340 1852 1295 2018 616 522 987 522 106 554 830 554 469 422 1899 1898 1899 1898 1899 422
1702 1703 2049 2049 2033 2049 1703 2049 1703 2049 1151 1301 1151 1301 1151 1301 695 753 853 753 559 9 559 9 260 33 260 33 260 9 260 290 783 290 163 290 157 290 784 0
701 698 303 698 85 619 700 619 220 619 522 697 364 51 470 364 481 1004 502 1004 365 1004 2316 2406 2406 2406 2316 2406 2406 2406 2316 1004 7 1004 481 318 390 812 407 812
1074 1379 1504 1379 1504 1379 1605 1379 1605 1379 1074 1379 1462 1379 1074 1379 1074 1379 1462 1379 1504 1932 1504 1932 1504 1379 1605 1379 1504 1379 1504 1932 1504 1932 1504 1932 1504 1932 1504 1932
2535 2534 2473 2534 2473 2534 2609 2534 3125 2483 2245 2483 2245 2310 2245 2483 2245 2483 2245 301 68 301 68 301 68 301 2245 301 2245 2310 2245 301 68 301 2245 2310 2245 2390 2245 2310
2119 1426 2119 1450 2119 1426 2119 1536 57 1127 57 157 290 783 290 163 290 157 57 1636 1038 1769 1174 1038 1107 1769 1107 1776 1107 1776 1404 1174 1404 1107 1425 1107 1404 1038 1536 1038
161 53 161 309 161 53 309 161 309 161 309 23 309 53 309 53 161 53 309 53 161 53 161 53 309 53 161 53 161 309 23 309 23 309 53 161 53 309 23 309
2635 2636 2635 2636 2635 2636 2635 2636 2635 2636 2635 2636 2635 2636 2635 2636 2635 2636 2635 2636 2635 2636 2635 2636 2635 2636 2635 2636 2635 2636 2635 2636 2635 2636 2635 2636 2635 2636 2635 2636
